연번,보고서명,유적사업명,발간기관,제출일,조사시도,조사시군구,주소,조사면적,조사기간,유적성격,시대
1,전주 인봉지 시굴조사 보고서,전주 후백제 궁성벽 추정지,국립전주박물관,2017-01-03,전북,전주시, ,,,,
2,왕궁리발굴중간보고 Ⅹ,익산 왕궁리유적(9차),국립부여문화재연구소,2017-01-04,전북,익산시, ,,,,
3,왕궁리발굴중간보고 Ⅹ,익산 왕궁리유적(제25차),국립부여문화재연구소,2017-01-04,전북,익산시, ,,,,
4,충주 영평리 · 화곡리 유적,충주 메가폴리스 조성사업부지 내 유적,(재)충청북도문화재연구원,2017-01-04,충북,충주시, ,,,,
5,왕궁리발굴중간보고 Ⅹ,익산 왕궁리 유적(10차),국립부여문화재연구소,2017-01-04,전북,익산시, ,,,,
6,천안 정촌리유적,천안 GM 자동차 부품배송센터 신축사업부지 내,(재)가경고고학연구소,2017-01-04,충남,천안시, ,,,,
7,2014년도 소규모 발굴조사 보고서 Ⅴ,동해 망상동 44-8번지 단독주택신축부지 내 유적,(재)예맥문화재연구원,2017-01-04,강원,동해시, ,,,,
8,2014년도 소규모 발굴조사 보고서 I~XXI,부여 동남리(269-7) 주택신축부지내 유적,(재)한얼문화유산연구원,2017-01-05,충남,부여군, ,,,,
9,"대구 유천동 19-2번지 일원 학교건립예정부지.대구 달서구 유천동 47번지 일원 아파트 및 도로개설부지 내 ""대구 유천동 19-2.47번지 유적""",대구 유천동 19-2번지 일원 학교건립 예정부지 내 유적,(재)삼한문화재연구원,2017-01-05,대구,달서구, ,,,,
10,서울 익선동 99번지 유적,서울 종로1?2?3?4가동 청사 신축부지 내 유적,(재)한울문화재연구원,2017-01-05,서울,종로구, ,,,,
11,공주 학봉리 669-11번지 유적,공주 학봉리 669-11번지 단독주택 조성부지 내 유적 국비지원 발굴(시굴)조사,(재)동방문화재연구원,2017-01-05,충남,공주시, ,,,,
12,"대구 유천동 19-2번지 일원 학교건립 예정부지.대구 달서구 유천동 47번지 일원 아파트 및 도로개설부지 내 ""大邱 流川洞 19-2.47番地 遺蹟""",대구 달서구 유천동 47번지일원 아파트 및 도로개설부지 내 유적,(재)삼한문화재연구원,2017-01-05,대구,달서구, ,,,,
13,2014년도 소규모 발굴조사 보고서 Ⅰ~ⅩⅩⅠ,서울 종로 연지동 98-1번지 일원 근생 및 숙박시설 부지 내 유적(국비지원),(재)겨레문화유산연구원,2017-01-06,서울,종로구, ,,,,
14,2014년도 소규모 발굴조사 보고서 Ⅰ~ⅩⅩⅠ,서울 종로구 돈의동 119번지 일원 신축부지 내 유적(국비지원),(재)겨레문화유산연구원,2017-01-06,서울,종로구, ,,,,
